"id","catagory","hasImage","imageName","question","answerA","answerB","answerC","answerD","correctAnswer"
"258","1","1","","What should a driver do on the approach to this situation?","Give way only if you are towing a trailer or caravan.","Drive on because the oncoming traffic must wait.","Increase speed in order to clear the bridge before the oncoming car.","Reduce speed and stop if necessary.","D"
"259","1","1","","When driving on a cobblestone road why should you take extra care?","The road surface is uneven and road grip varies.","Driving on the tracks can improve tyre grip.","The road surface is particularly even and tyre grip is improved.","Driving for extended periods on cobblestones may cause a migraine.","A"
"260","1","1","","After a heavy downpour, why should the driver keep a greater distance from vehicles in front?","Because wheels rotate at slower speed after rain.","Because wheel-spray may impair visibility.","Because wheels rotate at greater speed after rain.","Because the visibility of the leading car's break lights may be impaired.","B"
"261","1","1","","After a heavy downpour why should the driver keep a greater distance from vehicles in front?","Because wheels rotate at slower speed after rain.","Because wheels rotate at greater speed after rain.","Because stopping distances are greater.","Because the visibility of the leading car's break lights may be impaired.","C"
"262","1","1","","When driving on this one-way street with vehicles parked on both sides, what should a driver be prepared for?","The truck may be a left-hand drive vehicle.","The truck may not have proper markings.","A vehicle door may open on either side of the street.","The driver of the truck may not speak English.","C"
"263","1","1","","When driving on this one-way street with vehicles parked on both sides, what should a driver be prepared for?","The truck may not have proper markings.","Pedestrians crossing between vehicles.","The truck may be a left-hand drive vehicle.","Slippery driving conditions.","B"
"264","1","1","","Why must a driver be particularly careful here?","The vehicle coming from the right has right of way.","Because a vehicle could come from then left.","The vehicle coming from the right is not required to signal.","Because there is an increased danger of skidding.","D"
"265","1","1","","What should a driver do in this situation when intending to turn left?","Proceed between both pedestrians.","Wait and allow both pedestrians to cross.","Sound the horn, and accelerate to proceed promptly.","Allow one pedestrian to cross, and then proceed as there should be room to clear the junction.","B"
"266","1","1","","What should a driver do when turning right at this junction?","Stop, oncoming traffic has right of way.","Allow the red car to proceed.","Proceed.","Allow the blue car to proceed.","B"
"267","1","1","","What should the car driver be aware of in this situation?","Oncoming traffic may cut the corner.","Following traffic may cut the corner.","The road ahead will be a dual carriageway.","Following traffic may attempt to overtake you.","A"
"268","1","1","","What should the car driver be aware of in this situation?","Road marking is taking place ahead.","The road ahead is solely for cars and other light vehicles.","Animals could suddenly appear on the road ahead.","Road works may be taking place ahead.","C"
"269","1","1","","What should a driver be aware of when driving at night along a shopping street with many different light sources?","Parking spaces may be difficult to notice.","Traffic lights may be difficult to distinguish from the other bright lights.","It is easier to see pedestrians because of the bright lights.","Other vehicles do not need to use their head lights.","B"
"270","1","1","","What should a driver be most aware of in this situation?","Animals could suddenly appear on the road ahead","Children may unexpectedly run out from between parked cars.","A car may pull out in front of you.","The incline of the road.","B"
"271","1","1","","What should a driver do in this situation?","Drive on quickly in order not to delay following traffic.","Reduce speed and be prepared to stop because other children could follow.","Maintain your speed. The driver does not expect other children.","Sound the horn as a warning and proceed.","B"
"272","1","1","","In this situation who should wait?","The driver behind the stopped van should wait.","Whichever driver is furthest away from the van.","The oncoming traffic must wait.","Whichever driver is more patient.","A"
"273","1","1","","In this situation, who should wait?","You should wait.","The driver in the red car should wait.","Either driver should wait.","Whichever driver is more patient.","B"
"274","1","1","","What should a driver do when following the cyclist who is approaching a parked car?","The cyclist must allow you to pass first.","The cyclist will take proper observations before proceeding.","The cyclist may overtake the parked car on the right.","The driver has enough space to pass the cyclist and car together safely.","C"
"275","1","1","","In this situation, should you overtake the cyclists?","No, the driver cannot see clearly ahead.","Yes, provided the broken line does not become continuous.","Yes, the cyclists will hear your vehicle and thus will get out of the way.","Yes, any oncoming traffic can observe the situation and will get out of the way.","A"
"276","1","1","","What should a driver be prepared for in this situation?","The cyclist ahead may move out to turn right at the junction.","The cyclist will take up position further to the left.","The cyclist further ahead may sway to the left.","The tyres on the cyclists bike may puncture.","A"
"277","1","1","","What should a driver do in this situation?","Allow the pedestrian to cross the road.","Sound your horn and drive on.","Wait at the zebra crossing until the van has turned off.","Accelerate quickly to clear the crossing.","A"
"278","1","1","","What should a driver be aware of in this situation?","A minor road to the left ahead.","A dangerous right-hand bend.","A minor road to the right ahead.","A sharp dip in the road ahead.","B"
"279","1","1","","What must a driver be prepared for in this situation?","An area where there is cattle on the road.","Turning left ahead because of road works.","An area where signals are not given.","Road workers crossing ahead.","B"
"280","1","1","","What should a driver who wants to turn right do in this situation?","Carefully turn to the left after sounding the horn.","Proceed straight ahead and take a wide turn to the right.","Reverse and get into the right lane.","Proceed straight ahead or turn left.","D"
"281","1","1","","Which vehicle is in the correct position to make a right turn from the major road into the minor road?","Car 1 is in the correct position to make the right turn.","Car 2 is in the correct position to make the right turn.","Car 3 is in the correct position to make the right turn.","Car 4 is in the correct position to make the right turn.","C"
"282","1","1","","Which vehicle is in the correct position to make a left turn from a minor road onto a major road?","Car 1 is in the correct position to make the left turn.","Car 2 is in the correct position to make the left turn.","Car 3 is in the correct position to make the left turn.","Car 4 is in the correct position to make the left turn.","B"
"283","1","1","","Which vehicle is in the correct position to make a right turn from a minor road onto a major road?","Car 1 is in the correct position to turn right","Car 2 is in the correct position to turn right","Car 3 is in the correct position to turn right","Car 4 is in the correct position to turn right","A"
"672","1","0","","What should a driver do when they want to use a mobile phone?","Reduce speed and be alert for other road users.","Pull in and stop in a safe place.","Allow a wider gap to open up with the vehicle in front and continue at normal speed.","Keep the conversation short.","B"
"673","1","0","","When parked on a busy road, what should the driver be aware of?","Before opening the door the driver should make sure it is safe to do so.","The handbrake is not applied.","The wheels of the vehicle are angles away from the kerb.","The gear lever is in the neutral position before getting out.","A"
"674","1","0","","What should a driver be aware of when queuing where there are multiple lanes of traffic?","Motorcycles or bicycles may come up on either side.","Motorcycles or bicycles may come up on your right.","Motorcycles or bicycles may come up on either side only when there is a roundabout ahead.","Motorcycles or bicycles may come up on your left.","A"
"675","1","1","","In this situation, what should the driver in the right-hand lane of the dual carriageway be aware of?","Crosswinds may blow the rider into their path.","Reduced visibility.","Oncoming traffic.","The motorcyclist may perform a 'U'-turn.","A"
"815","1","1","","What does a white line in the centre of the road mean?","Vehicles may cross the line for a short time.","Vehicles may park during daylight hours only.","Vehicles may not cross or straddle the line.","Vehicles may perform a U-turn.","C"
"816","1","1","","What does a continuous white line along the centre of the road mean?","No U-turn allowed.","Motorcyclists can overtake.","Parking allowed during business hours.","U-turn allowed during daylight hours.","A"
"817","1","1","","What should a driver do at an amber traffic light?","Continue only if sure that the junction is clear of pedestrians.","Make sure to pass the lights before they turn red.","Continue as there is not traffic at the junction.","Stop at the line unless it is not safe to do so.","D"
"881","1","0","","When driving on a road with tram lines why should a driver take extra care?","Driving on tracks can improve braking.","Driving on tracks can improve steering","Driving on tracks can reduce tyre grip.","Driving on tracks can improve tyre grid.","C"
"284","4","0","","What should the driver do when there is a sharp dip in the road ahead?","Move to the centre of the road in order to avoid a vehicle that may be parked on the left.","Flash your lights to warn oncoming drivers of your presence.","Reduce your speed, keep to the left and be alert for hazards ahead.","Increase your speed.","C"
"285","4","0","","What should a driver do if they see a red warning triangle on the road?","Stop and await instructions.","The driver should slow down and expect a hazard up ahead.","Avoid it, maintain speed and carry on.","Stop at the triangle before proceeding.","A"
"286","4","0","","The driver is approaching traffic lights that they know have been green for some time. What should the driver do?","The driver should prepare to stop in case the lights change before they reach them.","Accelerate to clear them before they change.","Maintain the current speed.","Maintain the current speed and sound your horn as you approach.","A"
"287","4","0","","What should a driver do when approaching a junction normally controlled by traffic lights and the traffic lights are not lighting?","Treat the junction as an unmarked junction and proceed cautiously while watching out for other traffic.","Drive smartly through the junction to avoid delay.","Stop at the junction and give way to traffic on your left.","Switch on the hazard warning lights and drive on.","A"
"288","4","0","","What should the driver do if there are cattle on the road ahead?","Sound the horn to try get the cattle to move aside.","The driver should reduce speed and overtake with care.","Switch on your headlights and try to pass as quickly as possible.","Sound the horn and overtake with care.","B"
"289","4","0","","What should a driver do if they see horse riders on the road ahead?","Maintain their speed while taking extra observation of the horses and how they are controlled by the riders.","The driver should reduce speed and allow extra clearance and pass with care.","Sound the horn and reduce their speed.","Turn on your hazard warning lights and continue at normal speed.","B"
"290","4","0","","What should drivers be aware of if they meet horses with riders on the road?","Drivers should be aware that loud noises from your vehicle may frighten the horses and cause them to bolt.","All horse riders are experienced at handling horses.","Any loud noise from your vehicle will not frighten the horses.","They may only pass in single file.","A"
"291","4","0","","What should the driver do when approaching a humpbacked hill?","The driver should reduce speed, keep to the left and be alert for hazards ahead.","Press the clutch pedal and sound the horn as a warning.","Maintain normal speed and road position.","Stop at the crest of the hill.","A"
"292","4","0","","What should a driver do if there is a large oil spill on the road?","Maintain normal speeds in a lower gear and apply the hazard warning lights.","Depress the clutch and brake sharply and apply the hazard warning lights.","Try to straddle it with your wheels while maintaining normal speed.","Reduce speed by gently applying the brakes and switch on the hazard warning lights.","D"
"293","4","0","","What do flashing amber beacons on an oncoming vehicle alert a driver to?","That the oncoming traffic maybe slow moving or extra wide.","Is an emergency vehicle.","Is broken down.","Is fast moving.","A"
"294","4","0","","What should a driver do if they meet a vehicle with flashing amber beacons?","That the oncoming vehicle is broken down.","That the oncoming vehicle is an emergency vehicle.","The oncoming vehicle is fast moving.","Slow down and be prepared to stop.","D"
"295","4","0","","What should a driver be aware of before crossing railway or tram lines?","Tyre grip may be improved crossing the rails.","The wheels may become caught in the rails.","There may be an uneven surface and tyre grip may be reduced when crossing.","Oncoming trains.","C"
"296","4","0","","What should the driver be aware of when crossing road markings such as lines and directional arrows?","The stopping distance is reduced due to improved tyre grip.","The steering control is improved.","The stopping distance is increased due to reduced tyre grip.","The braking is improved.","C"
"297","4","0","","There are pedestrians on the footpath ahead and there are pools of water on the road. What should a driver do?","Sound the horn as a warning to the pedestrians and continue on.","Reduce speed and try to avoid the pools of water so as not to splash the pedestrians.","Flash the lights as a warning to the pedestrians.","Brake suddenly as you approach the pools of water.","B"
"298","4","0","","When preparing to stop, a driver notices the vehicle behind is towing a trailer. What should the driver do?","Indicate in good time and pull up gradually to allow the vehicle behind extra stopping distance.","Use the hand brake to stop.","Speed up temporarily to put more distance between your vehicle and the vehicle behind you.","Stop quickly keeping a close eye on the rear-view mirror.","A"
"299","4","0","","The bus ahead is moving away from a bus stop. What should a driver do?","Drive alongside it because you have right-of-way.","Slow down and allow it to move out.","Try to get past it to avoid being delayed.","Signal to the bus driver to let you pass.","B"
"300","4","0","","What should a driver do on a narrow road when another vehicle is coming in the opposite direction?","Maintain its position and expect the other vehicle to move over if necessary.","Reduce speed and allow reasonable clearance between their vehicle and the oncoming one before proceeding.","Expect the other driver to pull off the road.","Drive along the middle of the road to encourage other drives to pull in.","B"
"301","4","0","","When driving along and wishing to stop at a shop on the side of the street in order to make a purchase, what should a driver do?","Continue on to a safe parking space.","Switch on you hazard warning lights and park slightly up on the footpath.","Continue to a point where a 'U-turn' can be made safely and return to park on the footpath in the proper direction.","Park on the footpath so as not to impede the free flow of traffic on the road.","A"
"302","4","0","","When a driver is driving behind another vehicle that they do not intend to overtake, what should the driver do?","Keep well back and to the centre of the road.","Keep well back to allow following traffic to overtake them.","Drive close behind it in order to let following traffic overtake both vehicles.","Signal to following traffic to overtake both vehicles.","B"
"303","4","0","","Why is tailgating (driving too close behind the vehicle in front) dangerous?","The driver exceeds the speed limit when tailgating.","The drivers braking system is less efficient.","The driver prevents other vehicles from overtaking both vehicles safely.","The vehicle will not have sufficient distance to stop safely in an emergency.","D"
"304","4","0","","Is tailgating allowed on a motorway or dual carriageway?","Yes, because there will be no oncoming traffic.","Only when all traffic moves in one direction at the same speed.","Yes, because traffic will not have to stop suddenly.","No, because the vehicle in front may stop suddenly.","D"
"305","4","0","","What danger can arise during daylight when a driver enters an area that is heavily shaded by overhanging trees?","The vehicle's engine could suddenly run cold.","Visibility could be suddenly reduced.","The vehicle's windscreen could fog up.","Falling branches.","B"
"306","4","0","","What should a driver do when being overtaken by another vehicle?","Continue at the same pace.","Move to the right.","Move to the left.","Increase your speed.","A"
"307","4","0","","When should signals (for example, with indicators) be given to other road users?","Only when it is necessary to warn following traffic.","Only when it is necessary to warn oncoming traffic.","Clearly and in good time to let other road users know your intentions.","Except where road markings indicate your direction.","C"
"308","4","0","","When driving into a narrow gap between oncoming vehicles and vehicles parked on the left. What should a driver do?","Edge your way forward around the parked vehicles.","Signal to oncoming traffic to halt and move to the right and drive as normal.","Indicate and drive on enforcing your priority.","Indicate right, stopping if necessary, until the oncoming traffic has passed by.","D"
"309","4","0","","How does giving a late signal affect other road users?","Only oncoming traffic are affected.","They may not have sufficient time to react.","They always have sufficient time in which to react.","They are not affected.","B"
"310","10","0","","How does rain affect driving in this situation?","It increases the danger of skidding.","It reduces your visibility.","It reduces the danger of skidding.","It increases the drivers visibility.","A"
"311","10","0","","When a driver is at a junction where visibility is extremely limited, what should the driver do?","Seek help from a passer-by.","Drive the front of the vehicle out onto the other road to enable other drivers to see you.","Sound the horn and quickly proceed.","Move out with extreme care, watching carefully to the left and the right.","D"
"312","10","0","","When should a driver use the vehicleâ€™s rear view mirror?","Before changing direction","Changing gears.","Reversing only.","Moving off only.","A"
"313","10","0","","How should a driver proceed if their view is obstructed at a junction?","Move out slowly onto the road while watching carefully for other traffic.","Flash lights on and off quickly before moving out.","Sound the horn several times and proceed.","Ask a passer-by to guide you out onto the other road.","A"
"314","10","0","","What should a driver do when approaching traffic lights stuck on red?","Sound your horn.","Check that there are no oncoming vehicles, and increase your speed.","Indicate and increase your speed.","Stop and proceed with great caution.","D"
"315","10","0","","What should a driver do when there are dark clouds and visibility is reduced during daylight hours?","Drive with full headlights switched on.","Do not switch on lights until 'lighting-up hours'.","Drive with side-lights or dipped headlights switched on.","Keep close to any vehicle in front with headlights off.","C"
"316","10","0","","When driving behind a heavy goods vehicle that is signalling to turn right, what should a driver do?","Overtake it slowly on the inside by driving partly on the footpath if necessary.","Stay behind until there is sufficient space to overtake it on the inside or until it has completed the turn.","See if the vehicle can complete the turn without stopping, and if not, overtake it yourself.","Tap your brakes to signal other vehicles to slow down.","B"
"317","10","0","","When driving behind a bus that is signalling to turn left and there is oncoming traffic, what should a driver do?","Overtake it on the left-hand side.","Overtake it on the right-hand side.","Tap your brakes to signal other vehicles to slow down.","Stay back and allow it to complete the turn.","D"
"318","10","0","","What might be described as a bus driverâ€™s â€˜blind spotsâ€™?","The area to the front, sides and rear of the bus which the driver cannot see.","The windscreen area covered by the sun-visor.","The seats at the rear of the bus.","The sunscreens or blinds covering individual seats when pulled down.","A"
"319","10","0","","Where are the blind spots on a truck (for its driver) that a driver in a car behind the truck needs to be aware of?","The area directly behind the vehicle.","The areas to the front, sides and rear which the driver cannot see.","The portion of the windscreen covered by the sun-visor.","Parts of the road ahead which are obscured by other large vehicles.","B"
"320","10","0","","Where are the blind spots that a driver needs to be aware of when towing a loaded trailer?","The view to the front hidden by the sun visor.","The number plate and lights on the rear of the vehicle and of the trailer.","The area directly behind the vehicle.","The areas to the side and rear of the vehicle and of the trailer that the driver cannot see.","D"
"321","10","0","","When is it permissible to overtake another vehicle on the left-hand side?","When there are three lanes available.","Never.","When the vehicle in front is signaling to turn right.","When there is sufficient space to do so.","C"
"322","10","0","","What should a driver who wishes to perform a U-turn do?","Check ahead and behind for approaching traffic.","Only perform a 'U'-turn outside the urban speed limit area.","Check behind for approaching traffic and signal them to stop.","Check ahead for approaching traffic and signal them to stop.","A"
"323","10","0","","What should a driver who wishes to perform a turnabout do?","Drive onto a footpath, is necessary, in order to ensure that you have sufficient room to turn.","Drive into somebody's driveway and reverse back onto the road.","Check ahead and behind for oncoming traffic and turn briskly while still keeping a look out.","Reverse into somebody's driveway and drive onto the road.","C"
"676","10","0","","What should a driver do before towing a caravan?","Carry all passengers in the caravan.","Switch on the hazard warning lights.","Have extended mirrors fitted to the towing vehicle and use them regularly.","Carry only adults in the caravan.","C"
"677","10","0","","What should a driver do before towing a wide-bodied trailer?","Drive with a red flag to the front right-hand side of the trailer.","Drive with full headlights on.","Drive with a red flag at the rear of the trailer.","Make use of extended mirrors to check for following traffic.","D"
"678","10","0","","Why is it important to have clean, clear windows?","To enable other road users to see you.","To ensure good all round visibility from the vehicle.","To avoid condensation.","To improve the maintenance of windows.","B"
"679","10","0","","If the vehicleâ€™s windows are covered with ice, what should the driver do before undertaking a journey?","Clear the ice from the windows before starting.","Clear enough space in the windscreen to be able to see ahead.","Use boiling water to clear the ice.","Drive slowly until the heater and demister have cleared the ice from the windows.","A"
"680","10","0","","What should a driver do if the vehicleâ€™s windows are covered in ice?","Switch on the heating system and use a scraper to clear the ice before driving.","Switch on the windscreen wipers.","Drive at a reduced speed until the heating system has cleared the ice.","Use boiling water with salt to clear the ice.","A"
"681","10","0","","What should a driver do if condensation is affecting the vehicleâ€™s windows?","Close off the air vents.","Wipe the glass with the back of you hand.","Drive for a few kilometers with a window open.","Dry the windows with a cloth and then use the demister system.","D"
"682","10","0","","How can sunlight affect visibility in a car with grimy windows?","It can create a mirror effect and reduce visibility.","It can enhance visibility.","It can cause objects to seem closer than they are.","It can cause objects to seem further away than they are.","A"
"683","10","0","","What specific observations should a driver make before reversing their vehicle?","In the left-hand mirror.","Over your right shoulder.","Look over both shoulders and behind.","In the right hand mirror.","C"
"684","10","0","","What specific observations should a driver make before reversing a vehicle fitted with an audible warning device?","Should take observations only in the blindspots.","Observations should be made to the front sides and rear of the vehicle, including blind spots.","Need not take observations, as bystanders will be aware of you.","Check your hair in the mirror.","B"
"685","10","0","","What should a driver do when they intend to reverse onto a side road?","Turn on your hazard lights to signal your reverse direction.","Open the door fully to look behind.","Turn your steering fully and reverse quickly.","Check carefully all around before and during the reverse.","D"
"686","10","0","","What should a driver do when they intend to reverse their vehicle on a busy street?","Reverse quickly to avoid delay.","Give a hand signal while reversing.","Sound the horn occasionally as you reverse.","Reverse slowly, checking all around for other road users.","D"
"687","10","0","","What should a driver do if they intend to reverse their vehicle into an area which they cannot see?","Open your window and look behind.","Open your door and look behind.","Look in the nearside mirror.","Ask someone to assist when reversing.","D"
"688","10","0","","What should a driver do when reversing a vehicle with a trailer attached?","Keep the front of trailer in view at all times.","Turn the steering in the direction in which you wish to reverse.","Look all around and use rear-view mirrors when reversing.","Sound the horn as a warning.","C"
"823","10","0","","What should a driver do when driving on a wide road behind a vehicle that has signalled to turn right ahead?","Overtake on the left-hand side and carry on.","Overtake on the right-hand side and carry on.","Overtake on the left, but only if turning left a short distance ahead.","Stay behind and tap the brakes to signal other drivers to slow down.","A"
"324","7","0","","What should drivers do if they become drowsy while driving?","Open a window or turn on the air conditioning to let cool air into the vehicle.","Stop, take a break including a short walk if possible.","Stretch your arms and close your eyes for short periods.","Turn up the heating.","B"
"325","7","0","","What should the driver do if they are driving and feel tired?","The driver should stop and take a break.","The driver should drive along the centre of the road.","The driver should increase speed to shorten the journey time.","The driver should eat something.","A"
"326","7","0","","What should a driver do if they are behind schedule in reaching a destination at an appointed time?","Be patient and drive so as to arrive safely.","Exceed the speed limit, if necessary, to make up the time.","Drive on the hard shoulder where available.","Drive aggressively.","A"
"327","7","0","","What should a driver do if they do not want to travel as fast as the vehicle in front?","The driver should keep to the left and allow vehicles to overtake if they wish.","The driver should keep its position and allow following vehicles to overtake if they wish.","The driver should give a hand signal to following traffic to overtake.","The driver should indicate left and keep to the left.","A"
"328","7","0","","What should a driver do if they wish to drive across a busy road and the traffic lights which normally control the junction are temporarily out of action?","Sound the horn and proceed slowly to cross the road.","Slowly force you way across, using hazard warning lights if necessary.","Take good observations, wait for a clear break in the traffic and proceed to cross the road.","Beckon to other drivers your intention to cross, and proceed.","C"
"329","7","0","","What should a driver do if they see a school bus stopped on the left-hand side of the road ahead?","Reduce speed and overtake with caution.","Sound the horn as a warning and continue.","Carry on regardless.","Signal and maintain current speed.","A"
"330","7","0","","What should the driver do when driving behind a vehicle that is going from side to side on the road in an unsafe manner?","The driver should stay well back until the road widens sufficiently to allow safe overtaking.","The driver should signal and go around to the left of the vehicle.","The driver should flash its lights and gesture aggressively at the other driver.","The driver should drive close behind with a view to overtaking.","A"
"331","7","0","","What should a driver do if a heavy goods vehicle in front has moved out to make a left turn ahead?","Stay behind it and allow it to finish the turn.","Drive into the space on its left-hand side.","Move to the right, but do not overtake.","Move out immediately and overtake as quickly as possible.","A"
"332","7","0","","What should a driver do if a bus in front has moved out to make a left-hand turn and there is oncoming traffic?","Maintain your speed until you are close behind the bus.","Overtake on the left hand-side.","Stay back and allow the bus to complete the turn.","Overtake on the right hand-side.","C"
"333","7","0","","What should a driver do if they see a truck reversing into a side entrance on the left-hand side of the road ahead?","Try to drive past it.","Drive up close to the truck and stop.","Sound your horn to indicate to the driver of the truck that you wish to overtake.","Stop and wait until your way is clear.","D"
"334","7","0","","What should a driver do if they wish to turn right at traffic lights while the green light is showing and there is oncoming traffic approaching?","Remain at the stop line until a suitable gap in the oncoming traffic appears before making the turn.","Wait until a green arrow comes on.","Go forward towards the centre of the junction and wait for a suitable gap to appear in the oncoming traffic before making the turn.","Wait for the light to turn amber and then make the turn.","C"
"335","7","0","","When is it permitted to force oncoming traffic onto the hard shoulder on the opposite side of the road while overtaking?","When the vehicle you are overtaking moves over and slows down.","It is not permitted to force oncoming traffic onto the hard shoulder while overtaking.","When none of the oncoming traffic is overtaking.","When the shoulder is wide enough.","B"
"336","7","0","","Forcing oncoming traffic onto the hard shoulder on the opposite side of the road - is this safe driving?","Dangerous driving only at night.","Only acceptable when the oncoming traffic is slow moving.","No, this is dangerous driving.","Yes, this is safe driving.","C"
"337","7","0","","When meeting oncoming traffic on a national road, is it permitted to move into the hard shoulder to allow following traffic to overtake?","Never.","Yes, temporarily when the hard shoulder is clear, and it is safe to drive there while the faster traffic overtakes.","Yes, when a truck or bus is oncoming.","Yes, when there is a junction up ahead on the left.","B"
"338","7","0","","When driving on a national road is it permitted to drive on the hard shoulder in order to allow faster-moving traffic to overtake?","Only when driving on a dual-carriageway.","Never.","Yes, temporarily, when the shoulder is clear, and it is safe to drive there while the traffic overtakes you.","Only when a truck or bus wishes to overtake you.","C"
"339","7","0","","What action should a driver take in a queue of traffic controlled by traffic lights?","A driver should always maintain their position in the queue.","A driver should overtake on the right and move to the head of the queue.","A driver should watch only for any vehicle overtaking on the right side.","A driver should overtake on the left and move to the head of the queue.","A"
"340","7","0","","What should the driver do when driving a vehicle they are not familiar with?","Avoid any long journeys until you are more familiar with the vehicle.","Drive initially with extra care and at a lower speed than normal.","Drive at your normal speed and become accustomed to its features over time.","Drive faster than normal in order to assess its capability.","B"
"341","7","0","","What should drivers do if they approach road works and there is earth-moving machinery moving about?","Reduce speed as there maybe loose gravel or mud on the road.","Engage a lower gear.","Be aware that the road surface may be uneven.","Be aware that there may be loose gravel on the road.","A"
"342","7","0","","Subject to the speed limit, what is the â€˜safestâ€™ speed to drive at?","The speed that will enable the driver to stop the vehicle within the distance ahead that they can see to be clear.","The speed of other road users.","At the speed limit.","The speed of the slowest vehicle on the road.","A"
"343","7","0","","When driving along and wishing to use a hand-held mobile phone, what should a driver do?","Move the phone as needed and keep the call to just a few minutes.","Steer with one hand.","Secure the phone between your shoulder and the side or your head while steering with both hands.","Stop at a safe location before using the phone.","D"
"344","7","0","","When stopped at traffic lights and the green light comes on, what should a driver do?","Accelerate at the same rate as other drivers.","Check that other road users have cleared the junction and move off with care.","Accelerate quickly so as not to delay the traffic.","Check your mirrors and move off quickly.","B"
"345","7","0","","What should a driver do if another vehicle blocks their right of way at a junction?","Be patient.","Flash your lights to express your displeasure.","Go after the vehicle with the intention of complaining to the driver.","Sound your horn.","A"
"346","7","0","","A driver who is about to undertake a journey is upset or angry. What should they do?","Not drive until they are calm.","Only drive in a low gear for a period.","Try to relax as they drive along.","Drive slower than normal for a distance.","A"
"347","7","0","","When being overtaken and there is oncoming traffic, what should a driver do?","Maintain your position because the other driver should not have attempted to overtake you.","Maintain your position and flash your lights to warn the oncoming traffic.","Speed up so they cannot overtake you.","Reduce speed and allow the overtaking vehicle to return to the left side of the road after completing the overtaking manoeuvre.","D"
"348","7","0","","When in a hurry and another vehicle cuts in front, what should a driver do?","Be patient and not retaliate.","Flash your lights to express your annoyance.","Pull up closely behind them so that the other vehicles cannot cut into your path.","Drive faster to make up for lost time.","A"
"349","7","0","","What should a driver do when they get a puncture while driving?","Stop immediately, unless on a motorway and change the tyre.","Stop immediately and change the tyre.","Drive to the closest repair shop and have them change the tyre.","Stop at a safe place and change the tyre.","D"
"350","7","0","","What should a driver do when they want to change to the lane on the right in which there is other traffic?","Pull in and stop, wait until a suitable gap appears and then move out to the right-hand lane.","Use the mirror, signal and move into the right-hand lane when a suitable gap appears in the traffic in that lane.","Indicate and move gradually into the right-hand lane.","Increase your speed until you are travelling at the same speed as the traffic in the right lane, then move over.","B"
"351","7","0","","What effect does drinking alcohol have on a driver?","It improves co-ordination.","It increases awareness.","It makes the driver drowsy.","It increases your concentration.","C"
"352","7","0","","If a motorist or a motorcyclist is taking medication which may affect their driving, what should they do?","Drive for short distances only.","Seek medical advice in relation to driving.","Driving plenty of water while driving.","Make sure that the medication is recorded on your licence record.","B"
"353","7","0","","If taking unprescribed medication what should a driver check before driving their vehicle?","Check that the medication does not affect driving.","Only medication issued under prescription may cause drowsiness.","Use of soft drugs prior to driving will not affect your driving.","Use of soft drugs would never cause you to take risks while driving.","A"
"689","7","0","","What should a driver do in order to keep alert during a long journey?","Increase the air circulation and make regular stops if necessary.","Drink tea or coffee or other hot drinks.","Keep the radio turned on.","Increase your speed to shorten the journey.","A"
"690","7","0","","What would be the effect of a warm vehicle interior on somebody driving at night?","It could tempt the driver to drive at increased speed.","It could increase the driver's sense of alertness.","It could make the driver feel drowsy.","It could reassure the driver that the engine is operating at normal temperatures.","C"
"691","7","0","","What effect would exhaust gases leaking into a vehicle have on the driver?","The driver maybe enticed to drive faster than normal.","The driver may become drowsy or ill.","The driver may become more alert.","The driver maybe enticed to drive slower than normal.","B"
"692","7","0","","What in particular should a driver be aware of when driving a high-powered vehicle?","It could make the driver feel they are driving slower than they actually are.","It could make the driver feel the brakes appear more powerful than they actually are.","It could make the driver think that the car is bigger than it actually is.","It could make the driver think that they are driving faster than they are actually driving.","A"
"896","7","0","","What effect does alcohol have on driver behaviour?","It can increase perception and awareness.","It slows down a driverâ€™s reactions.","It does not affect driver behaviour.","It can reduce a driverâ€™s confidence.","B"
"354","9","0","","What effect does a wet road surface have on a vehicleâ€™s braking ability?","It decreases the braking distance for vehicles without ABS.","It reduces the braking distance required.","Generally. it doubles the normal braking distance required on a dry surface.","It makes no difference to the braking distance.","C"
"355","9","0","","When driving uphill behind a slow-moving vehicle, what should a driver do?","Drive close behind it while keeping to the centre or the road.","Drive alongside of it until you can overtake it.","Drive close behind it while keeping well to the left.","Stay well behind the vehicle until it can be overtaken safely .","D"
"356","9","0","","After overtaking another vehicle, what should a driver do?","Gradually move back into the left when the vehicle has been overtaken.","Cut back in front of the vehicle and reduce speed.","Continue to signal right for a distance.","Cut into the left as soon as they have passed it.","A"
"357","9","0","","What could happen if a driver cuts in too soon when overtaking another vehicle?","Your engine could increase power.","Your engine could lose power.","The steering could lock.","Both vehicles could collide.","D"
"358","9","0","","What should a driver do when overtaking parked vehicles?","Watch in their right-hand mirror.","Move as far to the right as possible.","Allow sufficient clearance when passing.","Keep close to the vehicles and watch out for pedestrians.","C"
"359","9","0","","What stopping distance should a driver allow when they suspect that the road might be icy?","Up to ten times the normal distance.","Twice the normal distance.","The normal distance.","Up to half the normal.","A"
"360","9","0","","What clearance should drivers normally allow for parked vehicles?","The width or an average person.","A door width.","Six meters.","The width of the mirror.","B"
"361","9","0","","Why does it take longer to stop the vehicle on a wet road?","The suspension of the vehicle is lighter in wet weather.","The tyres have more grip than in dry weather.","The tyres have less road grip than in dry weather.","The brake fluid is less effective in wet weather.","C"
